,sentence
198,"Founder dan Chairman Polygroup, Paul Cheng, menjelaskan bahwa pembukaan pabrik baru ini merupakan bagian dari strategi perusahaan untuk memperkuat kapasitas produksi serta memperluas jaringan distribusinya secara global."
199,"Pabrik ini adalah yang pertama di wilayah Asia Tenggara, dengan nilai investasi mencapai Rp 1,7 triliun."
200,"Peluang lapangan pekerjaan yang tercipta dari pabrik ini diperkirakan akan mencapai 2.000 orang pada awal operasional, dan meningkat menjadi 6.000 tenaga kerja pada 2025, setelah Polygroup beroperasi sepenuhnya."
201,"Sementara itu, pendapatan yang dihasilkan pada tahun ini diperkirakan mencapai 15 juta dollar AS, dengan target kenaikan signifikan menjadi 150 juta dollar AS pada 2027."
202,"“Polygroup berkembang menjadi produsen global dalam industri dekorasi musiman, khususnya pohon natal buatan, lampu hias, dan dekorasi."
203,"Di samping itu, kami juga memproduksi produk dekorasi rumah lainnya, seperti pelampung dan kolam tiup,” kata Paul."
204,"Ia menambahkan bahwa perusahaan ini menyuplai pasar global melalui merek dagang Evergreen Classic, Lumations, dan Funsicle."
205,"Dokumen Kemenko Marves Menko Marves Luhut Binsar Pandjaitan saat meresmikan dimulainya tahap pertama produksi dan rencana ekspansi fasilitas produksi bahan katoda Lithium Iron Phosphate (LFP) oleh PT LBM Energi Baru Indonesia yang berada di Kawasan Ekonomi Khusus Kendal, Jawa Tengah pada Selasa (8/10/2024)."
206,"Produk Polygroup telah tersebar ke berbagai negara, termasuk Amerika Serikat, Eropa, dan Asia."
207,"Deputi Bidang Promosi Penanaman Modal Kementerian Investasi/BKPM Nurul Ikhwan, yang hadir dalam peresmian pabrik tersebut, menyatakan bahwa berdirinya pabrik milik PT Polygroup Manufaktur Indonesia di Kawasan Ekonomi Khusus (KEK) Kendal merupakan salah satu bukti bahwa Indonesia masih memiliki daya tarik bagi investor."
208,"“Pada saat mereka memutuskan untuk masuk ke Indonesia, mereka sudah membandingkan dengan beberapa negara lain."
209,"Jadi kita mengapresiasi khususnya kerja keras dari kawan-kawan di Kawasan Industri Kendal,” ujar Nurul."
210,"Pabrik pohon natal di KEK ini, menurutnya, juga berkontribusi dalam menyukseskan program pemerintahan Prabowo, yaitu mengurangi sampah plastik."
211,Sebagian besar bahan yang digunakan untuk pohon natal dan produk lainnya adalah sampah plastik yang sudah didaur ulang.
212,Tips Wapres Gibran bagi Para Kepala Daerah agar Bisa Capai Pertumbuhan Ekonomi Sesuai Target Prabowo
213,Wakil Presiden (Wapres) Gibran Rakabuming Raka membagikan strategi agar kepala daerah bisa mendorong pertumbuhan ekonomi daerah agar sesuai dengan target pertumbuhan ekonomi nasional yang ditetapkan Presiden Prabowo sebesar 8%.
214,"Hal tersebut disampaikan Wapres ketika memberikan arahan untuk para kepala daerah se-Indonesia pada penutupan Rapat Koordinasi Nasional Pemerintah Pusat dan Pemerintah Daerah 2024 di Sentul, Jawa Barat, Rabu (7/11/2024)."
215,"Menurut Gibran, pemerintah daerah perlu menerapkan kebijakan yang langsung menyentuh masyarakat dan pemanfaatan anggaran secara efektif."
216,"""Jika kita ingin pertumbuhan ekonomi naik sesuai target dari Pak Presiden, kuncinya adalah kebijakan yang langsung menyentuh masyarakat dan juga anggaran yang tepat sasaran,"" ungkap Gibran, dilansir siaran YouTube resmi Kementerian Dalam Negeri."
217,Gibran juga menekankan pentingnya sinergi antara pemerintah pusat dan pemerintah daerah untuk mengelola negara sebesar Indonesia.
218,"Ia menyebutkan, semua pihak harus kompak dan menghindari ego sektoral."
219,"Terlebih lagi, menurutnya, tidak ada visi dan misi lain selain visi dan misi Presiden Prabowo Subianto dalam menjalankan roda pemerintahan."
220,"""Kita harus kompak, tidak ada lagi ego sektoral."
221,"Forkopimda harus kompak, kepala-kepala daerah ini terutama harus kompak juga dengan kabupaten, kota-kota sekitarnya,"" ungkap Gibran."
222,"""Kita harus kompak, tidak ada lagi ego sektoral."
223,"Forkopimda harus kompak, kepala-kepala daerah ini terutama harus kompak juga dengan kabupaten, kota-kota sekitarnya,"" tegas mantan Wali Kota Solo itu."
224,"Putra sulung Presiden ke-7 RI, Joko Widodo, itu lantas menyinggung soal indeks Monitoring Center for Prevention (MCP)."
225,MCP merupakan aplikasi yang dikembangkan oleh Komisi Pemberantasan Korupsi (KPK) untuk mendorong percepatan pencegahan korupsi.
226,Gibran menyebut keberadaan MCP penting untuk mencegah dan menutup kebocoran anggaran negara.
227,"""Ini penting sekali Bapak Ibu karena Pak Presiden Prabowo menekankan untuk masalah pencegahan korupsi dan juga menutup kebocoran-kebocoran."
228,Jadi MCP ini adalah salah satu indikator dari KPK.
229,"Ini perlu diseriusi,"" tegasnya."
230,"Sebagaimana diketahui, Presiden Prabowo Subianto berulang kali menyampaikan keinginan untuk mendongkrak laju pertumbuhan ekonomi, hingga mencapai level 8% pada periode pemerintahannya."
231,"Pada gelaran BNI Investor Daily Summit 2024 yang dilaksanakan pada 9 Oktober 2024 lalu, Prabowo menyadari, dirinya kerap dicemooh dengan memasang target pertumbuhan ekonomi yang tinggi."
232,"KEK Sanur Masuk Lima Besar Terbaik, Raup Investasi Rp 2,99 Triliun"
233,Kawasan Ekonomi Khusus (KEK) Sanur di Provinsi Bali masuk dalam lima besar terbaik dari seluruh KEK di Indonesia berdasarkan laporan Dewan Nasional KEK.
234,"Capaian ini diberikan berdasarkan beberapa indikator penilaian dari kinerja, realisasi investasi, serapan tenaga kerja dan kontribusi KEK Sanur dalam mendorong pertumbuhan ekonomi Indonesia."
235,"Plt Sekretaris Jenderal Dewan Nasional KEK, Rizal Edwin mengapresiasi PT Hotel Indonesia Natour atau InJourney Hospitality selaku Badan Usaha Pembangun dan Pengelola (BUPP) KEK Sanur yang mampu menyelesaikan pembangunan kawasan dan dinyatakan siap beroperasi dalam waktu kurang dari tiga tahun."
236,"""Berdasarkan pemeringkatan LPEM UI, menunjukkan kinerja KEK Sanur menduduki peringkat ke-4 untuk KEK keseluruhan, dan peringkat ke-2 untuk kategori KEK Jasa,"" ujarnya dikutip dari laman Kementerian BUMN, Senin (4/11/2024)."
237,"KEK Sanur dikembangkan di lahan seluas 41,26 hektar dengan fasilitas kesehatan dan pariwisata terintegrasi berstandar internasional."
238,"Di dalamnya terdapat fasilitas meliputi sarana akomodasi yang terdiri dari hotel bintang 4 dan 5, premium villa/resort, Ethnobotanical Garden, Convention Centre bertaraf Internasional, Area Komersial, Sentra UMKM, serta berbagai fasilitas pendukung dengan teknologi terkini."
239,"Berdasarkan Laporan Dewan Nasional KEK pada semester I tahun 2024, secara kumulatif KEK Sanur telah merealisasikan investasi mencapai Rp 2,99 triliun."
240,"Selain itu, realisasi penyerapan tenaga kerja di kawasan ini tercatat sebanyak 2.853 orang."
241,"Khusus tahun 2024, KEK Sanur telah merealisasikan investasi sebesar Rp 938,3 miliar atau 67,9%, dan tenaga kerja sebanyak 495 orang atau 30,9% dari target yang ditentukan."
242,"Direktur Utama PT Hotel Indonesia Natour (InJourney Hospitality), Christine Hutabarat menyampaikan bahwa pihaknya berkomitmen melakukan inovasi dalam pengembangan KEK Sanur untuk mendukung dan menghadirkan ekosistem pariwisata kesehatan yang inklusif serta berkelanjutan."
243,"""Dengan capaian ini, KEK Sanur optimistis untuk terus berkontribusi dalam mendukung pertumbuhan ekonomi nasional dan mewujudkan visi KEK Sanur sebagai International Medical & Wellness Destination yang membawa added value dan dampak positif bagi pertumbuhan ekonomi lokal maupun nasional,"" pungkasnya."
244,"Atasi Ketimpangan Sosial, Ridwan Kamil Bakal Bangun Kawasan Ekonomi Khusus di Jakarta Utara"
245,Calon gubernur Jakarta nomor urut 1 Ridwan Kamil akan membangun kawasan ekonomi khusus di Jakarta Utara jika menang Pilkada 2024.
246,"Dengan begitu, dia bisa menciptakan satu juta lapangan pekerjaan dan mengatasi ketimpangan ekonomi serta tata ruang yang masih terjadi di Jakarta."
247,"“Kami akan menghadirkan ekonomi baru, seperti kawasan ekonomi khusus di Jakarta Utara, sehingga tercipta satu juta lapangan pekerjaan."
248,"Jakarta tidak hanya menjadi kota global, tetapi juga kota yang adil bagi semuanya,” ujar Ridwan Kamil dalam debat Pilkada ketiga di Hotel Sultan, Jakarta Pusat, Minggu (17/11/2024)."
249,"Menurut Ridwan Kamil, ketimpangan tata ruang di Jakarta masih menjadi persoalan serius."
250,"Ia mencontohkan kondisi kawasan Sudirman-Thamrin yang modern, berbeda dengan permukiman kumuh di Jakarta Utara yang mengalami berbagai persoalan seperti sulitnya akses air bersih, polusi saat kemarau, banjir saat hujan, dan tumpukan sampah."
251,“Ketidakadilan tata ruang juga memicu ketimpangan ekstrem.
252,"Ada kawasan kumuh mirip pengungsian yang berbeda jauh dengan Sudirman-Thamrin yang kinclong,” kata dia."
253,"Sebagai solusi, Ridwan Kamil menawarkan sejumlah program perbaikan tata ruang seperti renovasi rumah, pembangunan hunian vertikal, pengelolaan banjir hingga konsep zero waste."
254,“Kami menyiapkan program renovasi rumah dengan bantuan sebesar Rp 50 juta hingga Rp100 juta per rumah.
255,"Kami juga akan membangun hunian vertikal bagi generasi muda di lahan-lahan kosong seperti di atas pasar, stasiun, atau bahkan di tengah sungai,” ujar dia."
256,Tema debat kali ini mengangkat isu tentang lingkungan perkotaan dan perubahan iklim.
257,"Debat ini diikuti oleh tiga pasangan calon, yaitu pasangan calon nomor urut 1, Ridwan Kamil-Suswono yang didukung Partai Gerindra, PKS, Golkar, Demokrat, NasDem, PSI, PKB, Gelora, PBB, Perindo, PAN, PPP, dan Garuda."
258,"Kemudian pasangan calon nomor urut 2, Dharma Pongrekun-Kun Wardana yang maju lewat jalur independen."
259,"Sedangkan pasangan calon nomor urut 3, Pramono Anung-Rano Karno yang dikung oleh PDI-P dan Partai Hanura."
260,Ekonomi Kreatif Harus Didukung Sebagai Mesin Pertumbuhan Baru untuk Ekonomi Nasional
261,Menteri Ekonomi Kreatif Teuku Riefky Harsya mengajak seluruh pemangku kepentingan untuk mendukung ekonomi kreatif sebagai mesin pertumbuhan baru bagi ekonomi nasional.
262,"Pernyataan ini disampaikan saat membuka Rapat Koordinasi Teknis (Rakornis) Pengembangan Investasi yang diselenggarakan Kementerian Pariwisata dan Ekonomi Kreatif (Kemenparekraf) di The Ritz-Carlton Hotel, Jakarta, Rabu (13/11/2024)."
263,“Untuk pertama kalinya ekonomi kreatif menjadi sebuah kementerian dalam sejarah Indonesia.
264,"Pemerintah yang dipimpin Presiden Prabowo ingin sektor ini menjadi mesin pertumbuhan baru ekonomi nasional,” ujar Teuku Riefky Harsya, dikutip dari keterangan pers, Rabu (13/11/2024)."
265,"Menurut Riefky, sektor ekonomi kreatif berpotensi menjadi tulang punggung ekonomi daerah melalui inovasi dan teknologi, mengubah usaha kecil dan menengah (UMKM) menjadi ekonomi kreatif."
266,Transformasi ini diyakini mampu menciptakan lapangan pekerjaan baru dan menggerakkan ekonomi masyarakat.
267,Ekonomi kreatif ditargetkan tumbuh hingga 8% sampai 2029 dan menjadi motor baru perekonomian nasional.
268,"Hingga semester I 2024, sektor ini mencatatkan nilai tambah Rp749 triliun atau 55% dari target Rp1.347 triliun."
269,"Ekspor produk ekonomi kreatif juga mencapai 12 miliar dolar AS atau 45% dari target 27,5 miliar dolar AS, dengan kontribusi terbesar dari subsektor fesyen, kriya, kuliner, dan penerbitan."
270,"Selain itu, penyerapan tenaga kerja di sektor ekonomi kreatif juga terus meningkat dengan total 24,9 juta pekerja pada 2023."
271,Riefky menekankan pentingnya peralihan ekonomi Indonesia menuju sektor padat cipta yang didorong oleh kreativitas dan teknologi.
272,"“Jika dulu ekonomi kita bertumpu pada sektor-sektor padat karya dan padat modal, sekarang waktunya kita mengeksplorasi potensi ekonomi kreatif."
273,"UMKM yang disentuh dengan inovasi dan teknologi dapat menjadi bagian dari ekonomi kreatif yang mengekonomikan kreativitas,” tambahnya."
274,"Rakornis ini menjadi ajang bagi pemerintah pusat, daerah, dan pemangku kepentingan untuk berdiskusi dan berbagi ide mengenai strategi pengembangan investasi di sektor ekonomi kreatif."
275,"Deputi Bidang Industri dan Investasi Kemenparekraf, Rizki Handayani, berharap Rakornis dapat menjadi wadah bagi pemerintah daerah untuk berbagi ide inovatif dan solusi atas tantangan investasi."
276,"“Pemerintah daerah kami harapkan bisa menghasilkan proyek investasi yang mendukung pertumbuhan ekonomi nasional sebesar 8% dalam lima tahun ke depan,"" kata Rizki."
277,Simplifikasi Perizinan Gaet Investasi Ekonomi Keuangan
278,Pemerhati Kebijakan Publik
279,"Lawatan Presiden RI Prabowo Subianto ke Peru dalam acara APEC CEO Summit, Jumat (15/11) pekan lalu lalu, menarik untuk disimak kaitannya upaya menarik investasi."
280,Presiden Prabowo bakal melindungi semua investasi asing yang masuk ke Indonesia.
281,"Selain itu, Presiden berjanji akan menciptakan kondisi ekonomi yang menguntungkan bagi iklim investasi serta aktif ikut serta dalam berbagai organisasi ekonomi dunia."
282,"""Saya bertekad untuk melindungi semua investasi, memberikan kondisi ekonomi yang menguntungkan, dan terlibat dalam organisasi ekonomi besar dunia dan bekerja sama dengan Anda semua untuk menciptakan kesejahteraan bersama,"" ujar Presiden."
283,Langkah Presiden ini dinilai tepat.
284,APEC CEO Summit merupakan salah satu agenda penting dalam rangkaian KTT Kerja Sama Ekonomi Asia Pasifik (APEC) 2024.
285,"Di agenda CEO Summit tersebut, Presiden Prabowo berbicara di depan para CEO terkemuka dari wilayah Amerika Latin, Karibia, Asia serta Dewan Penasehat Bisnis ASEAN."
286,Indonesia saat ini memang sedang membutuhkan banyak investasi secara besar.
287,"Selain guna mendukung hilirisasi 26 komoditas sumber daya alam, investasi juga diperlukan untuk mendukung target pemerintah kaitannya pertumbuhan ekonomi rata-rata sebesar 8%."
288,"Selain itu, untuk penciptaan lapangan kerja – khususnya yang bersumber dari investasi langsung (direct investment)."
289,"Berdasarkan panduan Balance of Payments and International Investment Position Manual, dikenal ada beberapa jenis investasi yang dibagi berdasarkan jenis komponennya, seperti investasi langsung (baik PMA dan PMDN), investasi portofolio, derivatif finansial, investasi lainnya, serta cadangan devisa."
290,Penulis kali ini lebih membahas perkembangan investasi langsung.
291,"Investasi langsung merupakan investasi yang secara langsung dilakukan oleh perusahaan atau individu dengan menanamkan modalnya dalam jangka waktu panjang, bisa dari negara lain atau dari dalam negeri itu sendiri."
292,"Tujuannya untuk memperoleh kontrol langsung atas aset atau bisnis, bisa berupa dengan bentuk joint ventures (kemitraan) atau mergers and acquisitions."
293,"Berdasarkan data dari Kementerian Investasi dan Hilirisasi/BKPM, sampai triwulan III – 2024, realisasi investasi kumulatif selama periode Januari–September 2024 menunjukkan performa positif."
294,"Presiden menargetkan investasi pada 2024 sebesar Rp 1.650 triliun, meningkat dari target Rp 1.400 triliun pada tahun sebelumnya."
295,"Pada September 2024, total realisasi investasi kumulatif mencapai Rp 1.261 triliun, atau 76,45% dari target yang ditetapkan."
296,"Dari sisi sektor investasinya, sampai dengan periode ini disumbang oleh sektor hilirisasi yang berkontribusi sebesar Rp 272,91 triliun atau 21,6% dari total investasi."
297,"Sedangkan dari sisi lokasi, investasi di luar Jawa mencapai Rp 635 triliun (50,34%), meningkat 16,34% dibandingkan Rp 545,81 triliun pada periode yang sama di 2023."
298,Analis: Langkah BNI Terbitkan Green Bonds Wujud Komitmen Ekonomi Hijau
299,"Analis Senior Investment Information Mirae Asset Sekuritas Nafan Aji Gusta menilai, langkah PT Bank Negara Indonesia (Persero) Tbk dalam menerbitkan obligasi hijau (green bonds) menjadi salah satu wujud komitmen perseroan dalam membangun ekosistem ekonomi hijau (green economy)."
300,"Seperti yang diketahui, ekosistem ekonomi hijau di Indonesia bisa terbentuk salah satunya melalui penerbitan obligasi."
301,Salah satu cara terbentuknya ekonomi hijau adalah dengan pembangunan proyek-proyek yang berkelanjutan yang bisa membentuk ekosistem tersebut.
302,SHUTTERSTOCK/OK-PRODUCT STUDIO Kupon adalah bunga yang dibayarkan kepada pemegang obligasi secara berkala.
303,"“Sebagai wujud pada prinsip green economy, jika dana segar yang dihasilkan untuk proyek dengan asas terciptanya ekonomi hijau di Indonesia, tentunya kalau terjadi inflow karena pelaku pasar melakukan pembelian, tentunya green economy akan tercipta,” kata Nafan di Jakarta, dikutip dari Antara, Senin (11/11/2024)."
304,"Nafan menjelaskan, Presiden Prabowo Subianto sendiri telah berjanji untuk mengoptimalkan pertumbuhan ekonomi mencapai 6% yang salah satunya dengan mengoptimalkan ekonomi hijau."
305,"Sebab, ada potensi dari ekosistem ekonomi hijau ini."
306,“Harapan green economy di tanah air potensial.
307,Dan bisa diaplikasikan misalnya dengan pembangunan infrastruktur di IKN yang menerapkan forest city.
